Cltyrob_g4184,Clostridium tyrobutyricum
Ecduran_g1414,Enterococcus durans
Ecfaeca_acuI,Enterococcus faecalis
Ecfaeci_cysS,Enterococcus faecium
Lbbrevi_g2037-3,Lactobacillus brevis
Lbcasei_g4591,Lactobacillus casei
Lbcoryn_aroE,Lactobacillus coryniformis
Lbcurva_g1171,Lactobacillus curvatus
Lbdelbr_g3904,Lactobacillus delbrueckii
Lbferme_coiA,Lactobacillus fermentum
Lbhelve_pheS,Lactobacillus helveticus
Lbparab_g519,Lactobacillus parabuchneri
Lbparac_mutS2,Lactobacillus paracasei
Lbparap_g4429,Lactobacillus paraplantarum
Lbplant_mutY,Lactobacillus plantarum
Lbrhamn_trpD,Lactobacillus rhamnosus
Lbsakei_g605,Lactobacillus sakei
Lclaccre_mtlD-2,Lactococcus lactis subsp. cremoris
Lclaclac_tenA,Lactococcus lactis subsp. lactis
Lnmesen_purL,Leuconostoc mesenteroides
Pdacidi_asnS,Pediococcus acidilactici
Pdpento_prmC,Pediococcus pentosaceus
Prfreud_g4997,Propionibacterium freudenreichii
Sctherm_yeeO,Streptococcus thermophilus
