Commercial cheese,Species
C1 Alpine,Clostridium tyrobutyricum
C2 Raclette,Enterococcus durans
,Enterococcus faecalis
,Enterococcus faecium
,Levilactobacillus brevis
,Lacticaseibacillus casei
,Loigolactobacillus coryniformis
,Latilactobacillus curvatus
,Lactobacillus delbrueckii
,Limosilactobacillus fermentum
,Lactobacillus helveticus
,Lentilactobacillus parabuchneri
,Lacticaseibacillus paracasei
,Lactiplantibacillus paraplantarum
,Lactiplantibacillus plantarum
,Lacticaseibacillus rhamnosus
,Latilactobacillus sakei
,Lactococcus lactis subsp. cremoris
,Lactococcus lactis subsp. lactis
,Leuconostoc mesenteroides
,Pediococcus acidilactici
,Pediococcus pentosaceus
,Propionibacterium freudenreichii
,Streptococcus thermophilus
