Contaminant,Species
S01 Control (Day 1),Clostridium tyrobutyricum
S02 $L. brevis$,Enterococcus durans
S03 $L. casei$,Enterococcus faecalis
S04 $L. coryniformis$,Enterococcus faecium
S05 $L. curvatus$,Levilactobacillus brevis
S06 Control (Day 2),Lacticaseibacillus casei
S07 $L. helveticus$,Loigolactobacillus coryniformis
S08 $L. parabuchneri$,Latilactobacillus curvatus
S09 $L. paracasei$,Lactobacillus delbrueckii
S10 $L. plantarum$,Limosilactobacillus fermentum
S11 Control (Day 3),Lactobacillus helveticus
S12 $L. rhamnosus$,Lentilactobacillus parabuchneri
S13 $L. sakei$,Lacticaseibacillus paracasei
S14 $Ln. mesenteroides$,Lactiplantibacillus paraplantarum
S15 $Pd. acidilactici$,Lactiplantibacillus plantarum
S16 $Pd. pentosaceus$,Lacticaseibacillus rhamnosus
S17 Control (Day 4),Latilactobacillus sakei
S18 $Pr. freudenreichii$,Lactococcus lactis subsp. cremoris
S19 $L. fermentum$,Lactococcus lactis subsp. lactis
,Leuconostoc mesenteroides
,Pediococcus acidilactici
,Pediococcus pentosaceus
,Propionibacterium freudenreichii
,Streptococcus thermophilus
