Mock concentration,Species
Mock (10⁵ c/µl),Clostridium tyrobutyricum
Mock (10⁴ c/µl),Enterococcus durans
Mock (10³ c/µl),Enterococcus faecalis
Mock (10² c/µl),Enterococcus faecium
Mock (10⁴ c/µl + preamp),Levilactobacillus brevis
Mock (10³ c/µl + preamp),Lacticaseibacillus casei
Mock (10² c/µl + preamp),Loigolactobacillus coryniformis
Mock (10 c/µl  + preamp),Latilactobacillus curvatus
,Lactobacillus delbrueckii
,Limosilactobacillus fermentum
,Lactobacillus helveticus
,Lentilactobacillus parabuchneri
,Lacticaseibacillus paracasei
,Lactiplantibacillus paraplantarum
,Lactiplantibacillus plantarum
,Lacticaseibacillus rhamnosus
,Latilactobacillus sakei
,Lactococcus lactis subsp. cremoris
,Lactococcus lactis subsp. lactis
,Leuconostoc mesenteroides
,Pediococcus acidilactici
,Pediococcus pentosaceus
,Propionibacterium freudenreichii
,Streptococcus thermophilus
