Chip Run Info,G:\drma_data\Fluidigm_BioMark_data\CheeseAssayValidation_Triplicates\ChipRun.bml,Combined Chip Run,192.24 (169x),GE 192x24 PCR+Melt v2,ROX,EvaGreen,13.03.2020 12:44:40,00:51:27,GDC172-31-6-71,SamplePlateName: Undefined/Undefined,SamplePlateBarCode: Undefined/Undefined,ReagentPlateName: NA,ReagentPlateBarCode: NA
Application Version,4.5.2
Application Build,20180628.1231
Export Type,Table Results
Quality Threshold,0.5
Baseline Correction Method,Constant
Ct Threshold Method,User Data (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Ct,Tm,Tm,Tm
ID,Name,Type,rConc,Name,Type,Value,Calibrated rConc,Quality,Call,Threshold,In Range,Out Range,Peak Ratio
S001-A13,Clostridium tyrobutyricum DSM 2637 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S002-A13,Enterococcus faecalis DSM 20376 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S003-A13,Lactobacillus casei FAM 20446 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S006-A13,Lactobacillus paraplantarum FAM 18197 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S005-A13,Lactobacillus parabuchneri DSM 5707 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S004-A13,Lactobacillus delbrueckii DSM 20074 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S013-A13,Lactobacillus sakei DSM 15831 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S014-A13,Leuconostoc mesenteroides DSM 20346 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S015-A13,Pediococcus pentosaceus DSM 20333 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S018-A13,Std_24 (10^4 c/ul) (1),Standard,10000,Lbbrevi_g2037-3,Test,20.2559125315423,10198.9412909772,0.91,Pass,0.05,81.4162747468003,999,1
S017-A13,Acidipropionibacterium thoenii DSM 20276 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S016-A13,Clostridium butyricum DSM 10702 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S025-A13,Clostridium tyrobutyricum FAM 1550 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S026-A13,Enterococcus faecium DSM 20477 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S027-A13,Lactobacillus coryniformis FAM 20761 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S030-A13,Lactobacillus plantarum DSM 20174 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S029-A13,Lactobacillus parabuchneri FAM 21731 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
S028-A13,Lactobacillus delbrueckii DSM 20072 (1),Unknown,1,Lbbrevi_g2037-3,Test,999,-1,0,Flag,0.05,999,999,0
